t,bavg,bx_gsm,by_gsm,bz_gsm,speed,proton_density,temperature,pdyn,sym-h,file_name
2015-06-22 00:00:00+00:00,11.67,-8.41,7.41,3.22,342.3,12.57,55362.0,2.95,12,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:01:00+00:00,11.36,-8.16,7.52,2.37,342.3,12.69,56763.0,2.97,13,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:02:00+00:00,11.53,-8.16,7.97,1.61,340.9,13.62,67411.0,3.17,12,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:03:00+00:00,11.75,-8.62,7.8,1.64,341.8,13.11,64108.0,3.06,12,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:04:00+00:00,11.67,-9.22,7.09,0.61,341.8,12.88,62660.0,3.01,13,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:05:00+00:00,11.6,-9.24,6.94,0.6,337.4,11.97,58170.0,2.73,12,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:06:00+00:00,11.57,-9.28,6.81,0.74,341.7,12.83,59255.0,3.0,12,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:07:00+00:00,11.51,-9.15,6.85,0.97,340.2,13.15,68351.0,3.04,13,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:08:00+00:00,11.71,-9.14,7.21,0.8,337.9,12.74,68149.0,2.91,13,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:09:00+00:00,11.65,-9.12,7.02,-0.53,341.8,12.72,67388.0,2.97,12,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:10:00+00:00,11.58,-9.51,6.37,-1.58,342.3,12.72,67289.0,2.98,13,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:11:00+00:00,11.51,-10.47,4.7,-0.22,,,,,13,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:12:00+00:00,11.19,-7.27,6.92,-4.89,,,,,14,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:13:00+00:00,11.12,-6.75,7.4,-4.83,,,,,14,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:14:00+00:00,11.13,-6.31,7.6,-5.14,331.7,14.21,74749.0,3.13,15,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:15:00+00:00,11.09,-6.6,7.22,-5.25,331.7,14.21,74749.0,3.13,15,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:16:00+00:00,11.09,-6.61,7.19,-5.26,331.7,14.21,74749.0,3.13,15,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:17:00+00:00,11.02,-6.63,7.02,-5.3,,,,,16,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:18:00+00:00,10.93,-7.56,6.27,-4.76,,,,,16,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:19:00+00:00,10.85,-7.8,5.51,-5.11,,,,,15,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:20:00+00:00,10.97,-8.14,5.43,-4.38,,,,,17,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:21:00+00:00,11.06,-5.86,8.75,3.12,,,,,16,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:22:00+00:00,10.92,-6.48,8.53,2.09,329.8,14.82,91832.0,3.22,16,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:23:00+00:00,10.92,-6.97,8.11,2.0,329.9,14.75,90702.0,3.21,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:24:00+00:00,11.0,-6.87,7.84,3.47,330.8,14.32,84988.0,3.13,17,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:25:00+00:00,11.01,-6.55,8.15,3.26,330.9,14.31,85074.0,3.13,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:26:00+00:00,11.1,-6.31,8.8,1.51,329.6,15.19,90096.0,3.3,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:27:00+00:00,11.24,-5.84,9.3,0.78,329.5,14.98,89246.0,3.25,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:28:00+00:00,11.46,-5.29,10.07,-1.18,328.2,12.37,78539.0,2.66,19,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:29:00+00:00,11.18,-6.19,9.12,-1.34,328.5,14.4,81871.0,3.11,20,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:30:00+00:00,11.54,-7.82,8.44,0.55,331.3,13.92,80341.0,3.06,20,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:31:00+00:00,11.55,-7.93,8.31,0.79,334.4,13.06,78473.0,2.92,21,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:32:00+00:00,11.66,-7.84,8.61,-0.74,334.5,13.41,75517.0,3.0,21,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:33:00+00:00,11.67,-7.61,8.69,-1.41,336.1,13.96,72300.0,3.15,21,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:34:00+00:00,11.58,-7.19,8.89,-1.6,335.8,13.81,73343.0,3.11,21,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:35:00+00:00,11.58,-6.96,8.98,-2.17,335.7,13.36,78341.0,3.01,20,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:36:00+00:00,11.39,-7.66,6.8,1.88,336.5,11.95,93185.0,2.71,20,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:37:00+00:00,11.29,-8.29,5.94,4.84,337.3,11.96,90649.0,2.72,19,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:38:00+00:00,11.32,-8.44,6.01,4.53,,,,,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:39:00+00:00,11.42,-8.19,5.46,5.74,339.3,12.41,88469.0,2.86,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:40:00+00:00,11.31,-7.65,3.55,7.51,340.3,12.22,86381.0,2.83,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:41:00+00:00,11.39,-7.84,2.77,7.76,343.7,11.56,79238.0,2.73,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:42:00+00:00,11.44,-7.54,2.1,8.34,343.3,11.41,84944.0,2.69,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:43:00+00:00,11.43,-7.84,1.99,8.03,342.6,11.17,93727.0,2.62,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:44:00+00:00,11.29,-7.32,1.41,8.39,344.4,11.08,95386.0,2.63,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:45:00+00:00,11.06,-6.61,2.67,8.38,346.9,10.9,99393.0,2.62,17,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:46:00+00:00,10.92,-7.37,4.84,5.28,349.1,10.7,104170.0,2.61,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:47:00+00:00,11.04,-8.8,6.26,1.78,,,,,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
2015-06-22 00:48:00+00:00,11.06,-6.97,7.83,-1.41,,,,,18,/home/parvathy/REPOSITORY/verb4d_py/.test/omni_high_res/OMNI_HIGH_RES_1min_2015.csv
